instance,route_id,node_id,x,y,route_cost
Golden_13-C26-N253,1,152,3.0,13.0,283.54
Golden_13-C26-N253,1,153,1.0,13.0,283.54
Golden_13-C26-N253,1,154,-1.0,13.0,283.54
Golden_13-C26-N253,1,205,5.0,15.0,283.54
Golden_13-C26-N253,1,206,3.0,15.0,283.54
Golden_13-C26-N253,1,207,1.0,15.0,283.54
Golden_13-C26-N253,1,208,-1.0,15.0,283.54
Golden_13-C26-N253,1,15,5.0,5.0,283.54
Golden_13-C26-N253,1,16,3.0,5.0,283.54
Golden_13-C26-N253,1,17,1.0,5.0,283.54
Golden_13-C26-N253,1,37,5.0,7.0,283.54
Golden_13-C26-N253,1,38,3.0,7.0,283.54
Golden_13-C26-N253,1,39,1.0,7.0,283.54
Golden_13-C26-N253,1,67,5.0,9.0,283.54
Golden_13-C26-N253,1,68,3.0,9.0,283.54
Golden_13-C26-N253,1,69,1.0,9.0,283.54
Golden_13-C26-N253,1,70,-1.0,9.0,283.54
Golden_13-C26-N253,1,105,5.0,11.0,283.54
Golden_13-C26-N253,1,4,-1.0,3.0,283.54
Golden_13-C26-N253,1,5,-3.0,3.0,283.54
Golden_13-C26-N253,1,6,-3.0,1.0,283.54
Golden_13-C26-N253,1,18,-1.0,5.0,283.54
Golden_13-C26-N253,1,19,-3.0,5.0,283.54
Golden_13-C26-N253,1,20,-5.0,5.0,283.54
Golden_13-C26-N253,1,21,-5.0,3.0,283.54
Golden_13-C26-N253,1,22,-5.0,1.0,283.54
Golden_13-C26-N253,1,40,-1.0,7.0,283.54
Golden_13-C26-N253,1,0,0.0,0.0,283.54
Golden_13-C26-N253,2,0,0.0,0.0,309.16
Golden_13-C26-N253,2,41,-3.0,7.0,309.16
Golden_13-C26-N253,2,42,-5.0,7.0,309.16
Golden_13-C26-N253,2,43,-7.0,7.0,309.16
Golden_13-C26-N253,2,44,-7.0,5.0,309.16
Golden_13-C26-N253,2,71,-3.0,9.0,309.16
Golden_13-C26-N253,2,72,-5.0,9.0,309.16
Golden_13-C26-N253,2,73,-7.0,9.0,309.16
Golden_13-C26-N253,2,74,-9.0,9.0,309.16
Golden_13-C26-N253,2,75,-9.0,7.0,309.16
Golden_13-C26-N253,2,109,-3.0,11.0,309.16
Golden_13-C26-N253,2,110,-5.0,11.0,309.16
Golden_13-C26-N253,2,111,-7.0,11.0,309.16
Golden_13-C26-N253,2,112,-9.0,11.0,309.16
Golden_13-C26-N253,2,113,-11.0,11.0,309.16
Golden_13-C26-N253,2,114,-11.0,9.0,309.16
Golden_13-C26-N253,2,115,-11.0,7.0,309.16
Golden_13-C26-N253,2,158,-9.0,13.0,309.16
Golden_13-C26-N253,2,155,-3.0,13.0,309.16
Golden_13-C26-N253,2,156,-5.0,13.0,309.16
Golden_13-C26-N253,2,157,-7.0,13.0,309.16
Golden_13-C26-N253,2,209,-3.0,15.0,309.16
Golden_13-C26-N253,2,210,-5.0,15.0,309.16
Golden_13-C26-N253,2,211,-7.0,15.0,309.16
Golden_13-C26-N253,2,212,-9.0,15.0,309.16
Golden_13-C26-N253,2,159,-11.0,13.0,309.16
Golden_13-C26-N253,2,160,-13.0,13.0,309.16
Golden_13-C26-N253,2,161,-13.0,11.0,309.16
Golden_13-C26-N253,2,213,-11.0,15.0,309.16
Golden_13-C26-N253,2,214,-13.0,15.0,309.16
Golden_13-C26-N253,2,215,-15.0,15.0,309.16
Golden_13-C26-N253,2,216,-15.0,13.0,309.16
Golden_13-C26-N253,2,217,-15.0,11.0,309.16
Golden_13-C26-N253,2,162,-13.0,9.0,309.16
Golden_13-C26-N253,2,163,-13.0,7.0,309.16
Golden_13-C26-N253,2,164,-13.0,5.0,309.16
Golden_13-C26-N253,2,218,-15.0,9.0,309.16
Golden_13-C26-N253,2,219,-15.0,7.0,309.16
Golden_13-C26-N253,2,220,-15.0,5.0,309.16
Golden_13-C26-N253,2,45,-7.0,3.0,309.16
Golden_13-C26-N253,2,46,-7.0,1.0,309.16
Golden_13-C26-N253,2,47,-7.0,-1.0,309.16
Golden_13-C26-N253,2,76,-9.0,5.0,309.16
Golden_13-C26-N253,2,77,-9.0,3.0,309.16
Golden_13-C26-N253,2,78,-9.0,1.0,309.16
Golden_13-C26-N253,2,79,-9.0,-1.0,309.16
Golden_13-C26-N253,2,80,-9.0,-3.0,309.16
Golden_13-C26-N253,2,116,-11.0,5.0,309.16
Golden_13-C26-N253,2,117,-11.0,3.0,309.16
Golden_13-C26-N253,2,118,-11.0,1.0,309.16
Golden_13-C26-N253,2,119,-11.0,-1.0,309.16
Golden_13-C26-N253,2,120,-11.0,-3.0,309.16
Golden_13-C26-N253,2,165,-13.0,3.0,309.16
Golden_13-C26-N253,2,166,-13.0,1.0,309.16
Golden_13-C26-N253,2,167,-13.0,-1.0,309.16
Golden_13-C26-N253,2,168,-13.0,-3.0,309.16
Golden_13-C26-N253,2,221,-15.0,3.0,309.16
Golden_13-C26-N253,2,222,-15.0,1.0,309.16
Golden_13-C26-N253,2,223,-15.0,-1.0,309.16
Golden_13-C26-N253,2,121,-11.0,-5.0,309.16
Golden_13-C26-N253,2,122,-11.0,-7.0,309.16
Golden_13-C26-N253,2,123,-11.0,-9.0,309.16
Golden_13-C26-N253,2,169,-13.0,-5.0,309.16
Golden_13-C26-N253,2,170,-13.0,-7.0,309.16
Golden_13-C26-N253,2,171,-13.0,-9.0,309.16
Golden_13-C26-N253,2,224,-15.0,-3.0,309.16
Golden_13-C26-N253,2,225,-15.0,-5.0,309.16
Golden_13-C26-N253,2,226,-15.0,-7.0,309.16
Golden_13-C26-N253,2,227,-15.0,-9.0,309.16
Golden_13-C26-N253,2,172,-13.0,-11.0,309.16
Golden_13-C26-N253,2,173,-13.0,-13.0,309.16
Golden_13-C26-N253,2,228,-15.0,-11.0,309.16
Golden_13-C26-N253,2,229,-15.0,-13.0,309.16
Golden_13-C26-N253,2,230,-15.0,-15.0,309.16
Golden_13-C26-N253,2,231,-13.0,-15.0,309.16
Golden_13-C26-N253,2,232,-11.0,-15.0,309.16
Golden_13-C26-N253,2,83,-9.0,-9.0,309.16
Golden_13-C26-N253,2,84,-7.0,-9.0,309.16
Golden_13-C26-N253,2,124,-11.0,-11.0,309.16
Golden_13-C26-N253,2,125,-9.0,-11.0,309.16
Golden_13-C26-N253,2,126,-7.0,-11.0,309.16
Golden_13-C26-N253,2,174,-11.0,-13.0,309.16
Golden_13-C26-N253,2,175,-9.0,-13.0,309.16
Golden_13-C26-N253,2,176,-7.0,-13.0,309.16
Golden_13-C26-N253,2,233,-9.0,-15.0,309.16
Golden_13-C26-N253,2,234,-7.0,-15.0,309.16
Golden_13-C26-N253,2,24,-5.0,-3.0,309.16
Golden_13-C26-N253,2,25,-5.0,-5.0,309.16
Golden_13-C26-N253,2,26,-3.0,-5.0,309.16
Golden_13-C26-N253,2,48,-7.0,-3.0,309.16
Golden_13-C26-N253,2,49,-7.0,-5.0,309.16
Golden_13-C26-N253,2,50,-7.0,-7.0,309.16
Golden_13-C26-N253,2,51,-5.0,-7.0,309.16
Golden_13-C26-N253,2,52,-3.0,-7.0,309.16
Golden_13-C26-N253,2,81,-9.0,-5.0,309.16
Golden_13-C26-N253,2,82,-9.0,-7.0,309.16
Golden_13-C26-N253,2,85,-5.0,-9.0,309.16
Golden_13-C26-N253,2,7,-3.0,-1.0,309.16
Golden_13-C26-N253,2,8,-3.0,-3.0,309.16
Golden_13-C26-N253,2,23,-5.0,-1.0,309.16
Golden_13-C26-N253,2,0,0.0,0.0,309.16
Golden_13-C26-N253,3,0,0.0,0.0,204.15
Golden_13-C26-N253,3,9,-1.0,-3.0,204.15
Golden_13-C26-N253,3,10,1.0,-3.0,204.15
Golden_13-C26-N253,3,11,3.0,-3.0,204.15
Golden_13-C26-N253,3,27,-1.0,-5.0,204.15
Golden_13-C26-N253,3,28,1.0,-5.0,204.15
Golden_13-C26-N253,3,29,3.0,-5.0,204.15
Golden_13-C26-N253,3,53,-1.0,-7.0,204.15
Golden_13-C26-N253,3,54,1.0,-7.0,204.15
Golden_13-C26-N253,3,55,3.0,-7.0,204.15
Golden_13-C26-N253,3,89,3.0,-9.0,204.15
Golden_13-C26-N253,3,86,-3.0,-9.0,204.15
Golden_13-C26-N253,3,87,-1.0,-9.0,204.15
Golden_13-C26-N253,3,88,1.0,-9.0,204.15
Golden_13-C26-N253,3,127,-5.0,-11.0,204.15
Golden_13-C26-N253,3,128,-3.0,-11.0,204.15
Golden_13-C26-N253,3,129,-1.0,-11.0,204.15
Golden_13-C26-N253,3,130,1.0,-11.0,204.15
Golden_13-C26-N253,3,131,3.0,-11.0,204.15
Golden_13-C26-N253,3,177,-5.0,-13.0,204.15
Golden_13-C26-N253,3,178,-3.0,-13.0,204.15
Golden_13-C26-N253,3,179,-1.0,-13.0,204.15
Golden_13-C26-N253,3,180,1.0,-13.0,204.15
Golden_13-C26-N253,3,181,3.0,-13.0,204.15
Golden_13-C26-N253,3,235,-5.0,-15.0,204.15
Golden_13-C26-N253,3,236,-3.0,-15.0,204.15
Golden_13-C26-N253,3,237,-1.0,-15.0,204.15
Golden_13-C26-N253,3,238,1.0,-15.0,204.15
Golden_13-C26-N253,3,239,3.0,-15.0,204.15
Golden_13-C26-N253,3,132,5.0,-11.0,204.15
Golden_13-C26-N253,3,182,5.0,-13.0,204.15
Golden_13-C26-N253,3,183,7.0,-13.0,204.15
Golden_13-C26-N253,3,184,9.0,-13.0,204.15
Golden_13-C26-N253,3,240,5.0,-15.0,204.15
Golden_13-C26-N253,3,241,7.0,-15.0,204.15
Golden_13-C26-N253,3,242,9.0,-15.0,204.15
Golden_13-C26-N253,3,185,11.0,-13.0,204.15
Golden_13-C26-N253,3,186,13.0,-13.0,204.15
Golden_13-C26-N253,3,243,11.0,-15.0,204.15
Golden_13-C26-N253,3,244,13.0,-15.0,204.15
Golden_13-C26-N253,3,245,15.0,-15.0,204.15
Golden_13-C26-N253,3,246,15.0,-13.0,204.15
Golden_13-C26-N253,3,187,13.0,-11.0,204.15
Golden_13-C26-N253,3,188,13.0,-9.0,204.15
Golden_13-C26-N253,3,189,13.0,-7.0,204.15
Golden_13-C26-N253,3,247,15.0,-11.0,204.15
Golden_13-C26-N253,3,248,15.0,-9.0,204.15
Golden_13-C26-N253,3,249,15.0,-7.0,204.15
Golden_13-C26-N253,3,250,15.0,-5.0,204.15
Golden_13-C26-N253,3,30,5.0,-5.0,204.15
Golden_13-C26-N253,3,56,5.0,-7.0,204.15
Golden_13-C26-N253,3,57,7.0,-7.0,204.15
Golden_13-C26-N253,3,58,7.0,-5.0,204.15
Golden_13-C26-N253,3,59,7.0,-3.0,204.15
Golden_13-C26-N253,3,90,5.0,-9.0,204.15
Golden_13-C26-N253,3,91,7.0,-9.0,204.15
Golden_13-C26-N253,3,92,9.0,-9.0,204.15
Golden_13-C26-N253,3,93,9.0,-7.0,204.15
Golden_13-C26-N253,3,94,9.0,-5.0,204.15
Golden_13-C26-N253,3,95,9.0,-3.0,204.15
Golden_13-C26-N253,3,133,7.0,-11.0,204.15
Golden_13-C26-N253,3,134,9.0,-11.0,204.15
Golden_13-C26-N253,3,135,11.0,-11.0,204.15
Golden_13-C26-N253,3,136,11.0,-9.0,204.15
Golden_13-C26-N253,3,137,11.0,-7.0,204.15
Golden_13-C26-N253,3,138,11.0,-5.0,204.15
Golden_13-C26-N253,3,139,11.0,-3.0,204.15
Golden_13-C26-N253,3,190,13.0,-5.0,204.15
Golden_13-C26-N253,3,0,0.0,0.0,204.15
Golden_13-C37-N253,1,0,0.0,0.0,230.03
Golden_13-C37-N253,1,1,3.0,1.0,230.03
Golden_13-C37-N253,1,2,3.0,3.0,230.03
Golden_13-C37-N253,1,3,1.0,3.0,230.03
Golden_13-C37-N253,1,12,3.0,-1.0,230.03
Golden_13-C37-N253,1,13,5.0,1.0,230.03
Golden_13-C37-N253,1,14,5.0,3.0,230.03
Golden_13-C37-N253,1,32,5.0,-1.0,230.03
Golden_13-C37-N253,1,15,5.0,5.0,230.03
Golden_13-C37-N253,1,16,3.0,5.0,230.03
Golden_13-C37-N253,1,17,1.0,5.0,230.03
Golden_13-C37-N253,1,37,5.0,7.0,230.03
Golden_13-C37-N253,1,38,3.0,7.0,230.03
Golden_13-C37-N253,1,39,1.0,7.0,230.03
Golden_13-C37-N253,1,68,3.0,9.0,230.03
Golden_13-C37-N253,1,69,1.0,9.0,230.03
Golden_13-C37-N253,1,18,-1.0,5.0,230.03
Golden_13-C37-N253,1,40,-1.0,7.0,230.03
Golden_13-C37-N253,1,41,-3.0,7.0,230.03
Golden_13-C37-N253,1,70,-1.0,9.0,230.03
Golden_13-C37-N253,1,71,-3.0,9.0,230.03
Golden_13-C37-N253,1,4,-1.0,3.0,230.03
Golden_13-C37-N253,1,5,-3.0,3.0,230.03
Golden_13-C37-N253,1,6,-3.0,1.0,230.03
Golden_13-C37-N253,1,19,-3.0,5.0,230.03
Golden_13-C37-N253,1,21,-5.0,3.0,230.03
Golden_13-C37-N253,1,22,-5.0,1.0,230.03
Golden_13-C37-N253,1,46,-7.0,1.0,230.03
Golden_13-C37-N253,1,47,-7.0,-1.0,230.03
Golden_13-C37-N253,1,7,-3.0,-1.0,230.03
Golden_13-C37-N253,1,8,-3.0,-3.0,230.03
Golden_13-C37-N253,1,23,-5.0,-1.0,230.03
Golden_13-C37-N253,1,24,-5.0,-3.0,230.03
Golden_13-C37-N253,1,25,-5.0,-5.0,230.03
Golden_13-C37-N253,1,26,-3.0,-5.0,230.03
Golden_13-C37-N253,1,49,-7.0,-5.0,230.03
Golden_13-C37-N253,1,51,-5.0,-7.0,230.03
Golden_13-C37-N253,1,52,-3.0,-7.0,230.03
Golden_13-C37-N253,1,50,-7.0,-7.0,230.03
Golden_13-C37-N253,1,82,-9.0,-7.0,230.03
Golden_13-C37-N253,1,84,-7.0,-9.0,230.03
Golden_13-C37-N253,1,85,-5.0,-9.0,230.03
Golden_13-C37-N253,1,86,-3.0,-9.0,230.03
Golden_13-C37-N253,1,127,-5.0,-11.0,230.03
Golden_13-C37-N253,1,83,-9.0,-9.0,230.03
Golden_13-C37-N253,1,124,-11.0,-11.0,230.03
Golden_13-C37-N253,1,125,-9.0,-11.0,230.03
Golden_13-C37-N253,1,126,-7.0,-11.0,230.03
Golden_13-C37-N253,1,174,-11.0,-13.0,230.03
Golden_13-C37-N253,1,175,-9.0,-13.0,230.03
Golden_13-C37-N253,1,176,-7.0,-13.0,230.03
Golden_13-C37-N253,1,233,-9.0,-15.0,230.03
Golden_13-C37-N253,1,234,-7.0,-15.0,230.03
Golden_13-C37-N253,1,172,-13.0,-11.0,230.03
Golden_13-C37-N253,1,173,-13.0,-13.0,230.03
Golden_13-C37-N253,1,228,-15.0,-11.0,230.03
Golden_13-C37-N253,1,229,-15.0,-13.0,230.03
Golden_13-C37-N253,1,230,-15.0,-15.0,230.03
Golden_13-C37-N253,1,231,-13.0,-15.0,230.03
Golden_13-C37-N253,1,232,-11.0,-15.0,230.03
Golden_13-C37-N253,1,121,-11.0,-5.0,230.03
Golden_13-C37-N253,1,122,-11.0,-7.0,230.03
Golden_13-C37-N253,1,123,-11.0,-9.0,230.03
Golden_13-C37-N253,1,169,-13.0,-5.0,230.03
Golden_13-C37-N253,1,170,-13.0,-7.0,230.03
Golden_13-C37-N253,1,171,-13.0,-9.0,230.03
Golden_13-C37-N253,1,224,-15.0,-3.0,230.03
Golden_13-C37-N253,1,225,-15.0,-5.0,230.03
Golden_13-C37-N253,1,226,-15.0,-7.0,230.03
Golden_13-C37-N253,1,227,-15.0,-9.0,230.03
Golden_13-C37-N253,1,48,-7.0,-3.0,230.03
Golden_13-C37-N253,1,79,-9.0,-1.0,230.03
Golden_13-C37-N253,1,80,-9.0,-3.0,230.03
Golden_13-C37-N253,1,81,-9.0,-5.0,230.03
Golden_13-C37-N253,1,120,-11.0,-3.0,230.03
Golden_13-C37-N253,1,0,0.0,0.0,230.03
Golden_13-C37-N253,2,0,0.0,0.0,327.69
Golden_13-C37-N253,2,77,-9.0,3.0,327.69
Golden_13-C37-N253,2,78,-9.0,1.0,327.69
Golden_13-C37-N253,2,116,-11.0,5.0,327.69
Golden_13-C37-N253,2,117,-11.0,3.0,327.69
Golden_13-C37-N253,2,118,-11.0,1.0,327.69
Golden_13-C37-N253,2,119,-11.0,-1.0,327.69
Golden_13-C37-N253,2,165,-13.0,3.0,327.69
Golden_13-C37-N253,2,166,-13.0,1.0,327.69
Golden_13-C37-N253,2,167,-13.0,-1.0,327.69
Golden_13-C37-N253,2,168,-13.0,-3.0,327.69
Golden_13-C37-N253,2,221,-15.0,3.0,327.69
Golden_13-C37-N253,2,222,-15.0,1.0,327.69
Golden_13-C37-N253,2,223,-15.0,-1.0,327.69
Golden_13-C37-N253,2,162,-13.0,9.0,327.69
Golden_13-C37-N253,2,163,-13.0,7.0,327.69
Golden_13-C37-N253,2,164,-13.0,5.0,327.69
Golden_13-C37-N253,2,218,-15.0,9.0,327.69
Golden_13-C37-N253,2,219,-15.0,7.0,327.69
Golden_13-C37-N253,2,220,-15.0,5.0,327.69
Golden_13-C37-N253,2,20,-5.0,5.0,327.69
Golden_13-C37-N253,2,44,-7.0,5.0,327.69
Golden_13-C37-N253,2,45,-7.0,3.0,327.69
Golden_13-C37-N253,2,76,-9.0,5.0,327.69
Golden_13-C37-N253,2,42,-5.0,7.0,327.69
Golden_13-C37-N253,2,43,-7.0,7.0,327.69
Golden_13-C37-N253,2,72,-5.0,9.0,327.69
Golden_13-C37-N253,2,73,-7.0,9.0,327.69
Golden_13-C37-N253,2,74,-9.0,9.0,327.69
Golden_13-C37-N253,2,75,-9.0,7.0,327.69
Golden_13-C37-N253,2,109,-3.0,11.0,327.69
Golden_13-C37-N253,2,110,-5.0,11.0,327.69
Golden_13-C37-N253,2,111,-7.0,11.0,327.69
Golden_13-C37-N253,2,112,-9.0,11.0,327.69
Golden_13-C37-N253,2,113,-11.0,11.0,327.69
Golden_13-C37-N253,2,114,-11.0,9.0,327.69
Golden_13-C37-N253,2,115,-11.0,7.0,327.69
Golden_13-C37-N253,2,158,-9.0,13.0,327.69
Golden_13-C37-N253,2,159,-11.0,13.0,327.69
Golden_13-C37-N253,2,160,-13.0,13.0,327.69
Golden_13-C37-N253,2,161,-13.0,11.0,327.69
Golden_13-C37-N253,2,213,-11.0,15.0,327.69
Golden_13-C37-N253,2,214,-13.0,15.0,327.69
Golden_13-C37-N253,2,215,-15.0,15.0,327.69
Golden_13-C37-N253,2,216,-15.0,13.0,327.69
Golden_13-C37-N253,2,217,-15.0,11.0,327.69
Golden_13-C37-N253,2,155,-3.0,13.0,327.69
Golden_13-C37-N253,2,156,-5.0,13.0,327.69
Golden_13-C37-N253,2,157,-7.0,13.0,327.69
Golden_13-C37-N253,2,209,-3.0,15.0,327.69
Golden_13-C37-N253,2,210,-5.0,15.0,327.69
Golden_13-C37-N253,2,211,-7.0,15.0,327.69
Golden_13-C37-N253,2,212,-9.0,15.0,327.69
Golden_13-C37-N253,2,107,1.0,11.0,327.69
Golden_13-C37-N253,2,108,-1.0,11.0,327.69
Golden_13-C37-N253,2,152,3.0,13.0,327.69
Golden_13-C37-N253,2,153,1.0,13.0,327.69
Golden_13-C37-N253,2,154,-1.0,13.0,327.69
Golden_13-C37-N253,2,205,5.0,15.0,327.69
Golden_13-C37-N253,2,206,3.0,15.0,327.69
Golden_13-C37-N253,2,207,1.0,15.0,327.69
Golden_13-C37-N253,2,208,-1.0,15.0,327.69
Golden_13-C37-N253,2,67,5.0,9.0,327.69
Golden_13-C37-N253,2,104,7.0,11.0,327.69
Golden_13-C37-N253,2,105,5.0,11.0,327.69
Golden_13-C37-N253,2,106,3.0,11.0,327.69
Golden_13-C37-N253,2,151,5.0,13.0,327.69
Golden_13-C37-N253,2,102,11.0,11.0,327.69
Golden_13-C37-N253,2,103,9.0,11.0,327.69
Golden_13-C37-N253,2,148,11.0,13.0,327.69
Golden_13-C37-N253,2,149,9.0,13.0,327.69
Golden_13-C37-N253,2,150,7.0,13.0,327.69
Golden_13-C37-N253,2,202,11.0,15.0,327.69
Golden_13-C37-N253,2,203,9.0,15.0,327.69
Golden_13-C37-N253,2,204,7.0,15.0,327.69
Golden_13-C37-N253,2,146,13.0,11.0,327.69
Golden_13-C37-N253,2,147,13.0,13.0,327.69
Golden_13-C37-N253,2,198,15.0,11.0,327.69
Golden_13-C37-N253,2,199,15.0,13.0,327.69
Golden_13-C37-N253,2,200,15.0,15.0,327.69
Golden_13-C37-N253,2,201,13.0,15.0,327.69
Golden_13-C37-N253,2,143,13.0,5.0,327.69
Golden_13-C37-N253,2,144,13.0,7.0,327.69
Golden_13-C37-N253,2,145,13.0,9.0,327.69
Golden_13-C37-N253,2,195,15.0,5.0,327.69
Golden_13-C37-N253,2,196,15.0,7.0,327.69
Golden_13-C37-N253,2,197,15.0,9.0,327.69
Golden_13-C37-N253,2,35,7.0,5.0,327.69
Golden_13-C37-N253,2,36,7.0,7.0,327.69
Golden_13-C37-N253,2,63,9.0,5.0,327.69
Golden_13-C37-N253,2,64,9.0,7.0,327.69
Golden_13-C37-N253,2,65,9.0,9.0,327.69
Golden_13-C37-N253,2,66,7.0,9.0,327.69
Golden_13-C37-N253,2,99,11.0,5.0,327.69
Golden_13-C37-N253,2,100,11.0,7.0,327.69
Golden_13-C37-N253,2,101,11.0,9.0,327.69
Golden_13-C37-N253,2,0,0.0,0.0,327.69
Golden_13-C37-N253,3,0,0.0,0.0,282.78
Golden_13-C37-N253,3,33,7.0,1.0,282.78
Golden_13-C37-N253,3,34,7.0,3.0,282.78
Golden_13-C37-N253,3,60,7.0,-1.0,282.78
Golden_13-C37-N253,3,61,9.0,1.0,282.78
Golden_13-C37-N253,3,62,9.0,3.0,282.78
Golden_13-C37-N253,3,96,9.0,-1.0,282.78
Golden_13-C37-N253,3,97,11.0,1.0,282.78
Golden_13-C37-N253,3,98,11.0,3.0,282.78
Golden_13-C37-N253,3,140,11.0,-1.0,282.78
Golden_13-C37-N253,3,141,13.0,1.0,282.78
Golden_13-C37-N253,3,142,13.0,3.0,282.78
Golden_13-C37-N253,3,191,13.0,-3.0,282.78
Golden_13-C37-N253,3,192,13.0,-1.0,282.78
Golden_13-C37-N253,3,193,15.0,1.0,282.78
Golden_13-C37-N253,3,194,15.0,3.0,282.78
Golden_13-C37-N253,3,251,15.0,-3.0,282.78
Golden_13-C37-N253,3,252,15.0,-1.0,282.78
Golden_13-C37-N253,3,59,7.0,-3.0,282.78
Golden_13-C37-N253,3,95,9.0,-3.0,282.78
Golden_13-C37-N253,3,139,11.0,-3.0,282.78
Golden_13-C37-N253,3,57,7.0,-7.0,282.78
Golden_13-C37-N253,3,91,7.0,-9.0,282.78
Golden_13-C37-N253,3,92,9.0,-9.0,282.78
Golden_13-C37-N253,3,93,9.0,-7.0,282.78
Golden_13-C37-N253,3,94,9.0,-5.0,282.78
Golden_13-C37-N253,3,133,7.0,-11.0,282.78
Golden_13-C37-N253,3,134,9.0,-11.0,282.78
Golden_13-C37-N253,3,135,11.0,-11.0,282.78
Golden_13-C37-N253,3,136,11.0,-9.0,282.78
Golden_13-C37-N253,3,137,11.0,-7.0,282.78
Golden_13-C37-N253,3,138,11.0,-5.0,282.78
Golden_13-C37-N253,3,190,13.0,-5.0,282.78
Golden_13-C37-N253,3,187,13.0,-11.0,282.78
Golden_13-C37-N253,3,188,13.0,-9.0,282.78
Golden_13-C37-N253,3,189,13.0,-7.0,282.78
Golden_13-C37-N253,3,247,15.0,-11.0,282.78
Golden_13-C37-N253,3,248,15.0,-9.0,282.78
Golden_13-C37-N253,3,249,15.0,-7.0,282.78
Golden_13-C37-N253,3,250,15.0,-5.0,282.78
Golden_13-C37-N253,3,185,11.0,-13.0,282.78
Golden_13-C37-N253,3,186,13.0,-13.0,282.78
Golden_13-C37-N253,3,243,11.0,-15.0,282.78
Golden_13-C37-N253,3,244,13.0,-15.0,282.78
Golden_13-C37-N253,3,245,15.0,-15.0,282.78
Golden_13-C37-N253,3,246,15.0,-13.0,282.78
Golden_13-C37-N253,3,182,5.0,-13.0,282.78
Golden_13-C37-N253,3,183,7.0,-13.0,282.78
Golden_13-C37-N253,3,184,9.0,-13.0,282.78
Golden_13-C37-N253,3,240,5.0,-15.0,282.78
Golden_13-C37-N253,3,241,7.0,-15.0,282.78
